FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
홍성진,충청남도 논산시 부적면 외성리,20080425,416240
서점복,충청남도 논산시 연무읍 마전리,20140224,415005
금강LF,충청남도 논산시 광석면 사월리,20170322,415003
배용모,충청남도 논산시 노성면 송당리,20170330,415004
대경농장,충청남도 논산시 광석면 광리,20201230,415006
전종관,충청남도 논산시 은진면 토양리,20170304,415002
세종우리농장,충청남도 논산시 채운면 우기리,20260409,416299
진성농장,충청남도 논산시 연무읍 황화정리,20220219,416230
