FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
대영농장,충청남도 당진시 신평면 금천리,20140312,415005
블레스농장,충청남도 당진시 정미면 대운산리,20140314,415005
구현숙,충청남도 당진시 합덕읍 석우리,20180205,415005
한국영농,충청남도 당진시 송산면 유곡리,20250110,415011
거성농장,충청남도 당진시 합덕읍 대전리,20220213,415003
에이스 농장,충청남도 당진시 고대면 옥현리,20260116,415003
