FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
사리골농장,충청남도 청양군 운곡면 위라리,20140217,415003
조윤행,충청남도 청양군 청남면 왕진리,20140304,416230
용천양계,충청남도 청양군 비봉면 양사리,20150313,415003
용천양계,충청남도 청양군 비봉면 양사리,20170225,415003
농업회사법인 코코스팜 주식회사,충청남도 청양군 비봉면 양사리,20241216,415003
