FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
,충청북도 충주시 대소원면 만정리,20161208,415002
채봉농장,충청북도 충주시 동량면 대전리,20210203,416210
황실 토종닭 농장 소태,충청북도 충주시 소태면 주치리,20210311,415002
무지개농장,충청북도 충주시 소태면 주치리,20210313,415003
주덕농장,충청북도 충주시 주덕읍 창전리,20260105,415010
영평농장,충청북도 충주시 대소원면 영평리,20221113,416230
